domain	partner_domain	occurrences
PF02734	PF02733	5
PF13187	PF14697	5
PF06325	PF00298	5
PF14686	PF14683	5
PF00082	PF00050	5
PF05739	PF00804	5
PF00295	PF00041	5
PF02597	PF05237	5
PF02597	PF00899	5
PF12796	PF13621	5
PF04938	PF06003	5
PF14683	PF14686	5
PF00266	PF01206	5
PF13307	PF06733	5
PF00006	PF00401	5
PF00240	PF01398	5
PF00307	PF00041	5
PF00652	PF00535	5
PF00560	PF00055	5
PF00560	PF13306	5
PF00560	PF13516	5
PF03297	PF01599	5
PF00112	PF08127	5
PF00112	PF00086	5
PF00112	PF09394	5
PF01477	PF02740	5
PF14370	PF02919	5
PF02779	PF12573	5
PF03939	PF00347	5
PF03939	PF00831	5
PF03939	PF01199	5
PF01020	PF01655	5
PF00696	PF01472	5
PF06602	PF02893	5
PF00687	PF01777	5
PF05405	PF05511	5
PF05000	PF00623	5
PF12826	PF03119	5
PF05282	PF12134	5
PF02146	PF04574	5
PF01302	PF15301	5
PF03033	PF04101	5
PF00380	PF01092	5
PF13833	PF01067	5
PF00164	PF01765	5
PF00935	PF00181	5
PF00935	PF00572	5
PF03133	PF03953	5
PF13893	PF15519	5
PF01779	PF00297	5
PF01779	PF00238	5
PF00754	PF05089	5
PF00754	PF12972	5
PF00754	PF07732	5
PF10391	PF14791	5
PF00281	PF00572	5
PF13499	PF00258	5
PF01471	PF00045	5
PF00071	PF02136	5
PF05983	PF11221	5
PF00179	PF00097	5
PF00130	PF00169	5
PF03953	PF03133	5
PF07732	PF00754	5
PF02357	PF00467	5
PF00378	PF13766	5
PF01210	PF02317	5
PF02518	PF00072	5
PF00515	PF13174	5
PF00515	PF12895	5
PF00512	PF00072	5
PF04561	PF04998	5
PF03464	PF00009	5
PF14204	PF01198	5
PF00121	PF00969	5
PF00121	PF00993	5
PF02359	PF00789	5
PF09239	PF04406	5
PF01661	PF08715	5
PF00297	PF01779	5
PF12134	PF05282	5
PF02893	PF06602	5
PF00072	PF02518	5
PF00072	PF00512	5
PF06003	PF04938	5
PF13516	PF00560	5
PF00226	PF00012	5
PF13450	PF01593	5
PF04042	PF08418	5
PF01472	PF00696	5
PF00651	PF00888	5
PF09454	PF07200	5
PF03446	PF02222	5
PF02045	PF00808	5
PF01602	PF00025	5
PF00467	PF02357	5
PF00467	PF01199	5
PF00271	PF08148	5
PF03947	PF00828	5
PF03947	PF01158	5
PF00174	PF02167	5
PF00572	PF00281	5
PF00572	PF00935	5
PF00789	PF02933	5
PF00789	PF02359	5
PF07717	PF04408	5
PF07719	PF13174	5
PF13855	PF00089	5
PF13855	PF00669	5
PF02933	PF00789	5
PF01765	PF00164	5
PF00573	PF00832	5
PF00573	PF01248	5
PF00573	PF00237	5
PF13174	PF07719	5
PF13174	PF00515	5
PF04998	PF04561	5
PF04998	PF01096	5
PF00181	PF00832	5
PF00181	PF01294	5
PF00181	PF00935	5
PF04679	PF04675	5
PF00134	PF09241	5
PF14520	PF03119	5
PF00665	PF00552	5
PF00347	PF03939	5
PF00347	PF01294	5
PF00347	PF00827	5
PF00347	PF00673	5
PF02733	PF02734	5
PF05193	PF13631	5
PF00682	PF08502	5
PF04560	PF00575	5
PF01067	PF13833	5
PF04616	PF03422	5
PF01199	PF03939	5
PF01199	PF01158	5
PF01199	PF00467	5
